SunSpider,breakpoints/line,actions/line,stepIn,stepOver,stepOut,resume,sum # characters,# changed characters,# chars changed/sum
3d-cube,0.1,0.5,0.0,0.0,0.0,0.0,118,0,0.0000
3d-cube,0.1,0.5,0.0,0.0,0.0,1.0,1342,0,0.0000
3d-cube,0.1,0.5,0.0,0.0,1.0,0.0,936,12,0.0128
3d-cube,0.1,0.5,0.0,0.0,1.0,1.0,1172,3,0.0026
3d-cube,0.1,0.5,0.0,1.0,0.0,0.0,936,56,0.0598
3d-cube,0.1,0.5,0.0,1.0,0.0,1.0,1172,4,0.0034
3d-cube,0.1,0.5,0.0,1.0,1.0,0.0,936,35,0.0374
3d-cube,0.1,0.5,0.0,1.0,1.0,1.0,1084,13,0.0120
3d-cube,0.1,0.5,1.0,0.0,0.0,0.0,936,76,0.0812
3d-cube,0.1,0.5,1.0,0.0,0.0,1.0,1172,26,0.0222
3d-cube,0.1,0.5,1.0,0.0,1.0,0.0,936,73,0.0780
3d-cube,0.1,0.5,1.0,0.0,1.0,1.0,1084,24,0.0221
3d-cube,0.1,0.5,1.0,1.0,0.0,0.0,936,145,0.1549
3d-cube,0.1,0.5,1.0,1.0,0.0,1.0,1084,26,0.0240
3d-cube,0.1,0.5,1.0,1.0,1.0,0.0,936,70,0.0748
3d-cube,0.1,0.5,1.0,1.0,1.0,1.0,1036,28,0.0270
3d-cube,0.5,0.5,0.0,0.0,0.0,0.0,578,0,0.0000
3d-cube,0.5,0.5,0.0,0.0,0.0,1.0,1802,0,0.0000
3d-cube,0.5,0.5,0.0,0.0,1.0,0.0,1396,58,0.0415
3d-cube,0.5,0.5,0.0,0.0,1.0,1.0,1632,113,0.0692
3d-cube,0.5,0.5,0.0,1.0,0.0,0.0,1396,72,0.0516
3d-cube,0.5,0.5,0.0,1.0,0.0,1.0,1632,129,0.0790
3d-cube,0.5,0.5,0.0,1.0,1.0,0.0,1396,133,0.0953
3d-cube,0.5,0.5,0.0,1.0,1.0,1.0,1544,171,0.1108
3d-cube,0.5,0.5,1.0,0.0,0.0,0.0,1396,76,0.0544
3d-cube,0.5,0.5,1.0,0.0,0.0,1.0,1632,132,0.0809
3d-cube,0.5,0.5,1.0,0.0,1.0,0.0,1396,130,0.0931
3d-cube,0.5,0.5,1.0,0.0,1.0,1.0,1544,163,0.1056
3d-cube,0.5,0.5,1.0,1.0,0.0,0.0,1396,130,0.0931
3d-cube,0.5,0.5,1.0,1.0,0.0,1.0,1544,183,0.1185
3d-cube,0.5,0.5,1.0,1.0,1.0,0.0,1396,159,0.1139
3d-cube,0.5,0.5,1.0,1.0,1.0,1.0,1496,188,0.1257
access-binary-trees,0.1,0.5,0.0,0.0,0.0,0.0,18,0,0.0000
access-binary-trees,0.1,0.5,0.0,0.0,0.0,1.0,210,0,0.0000
access-binary-trees,0.1,0.5,0.0,0.0,1.0,0.0,148,15,0.1014
access-binary-trees,0.1,0.5,0.0,0.0,1.0,1.0,180,5,0.0278
access-binary-trees,0.1,0.5,0.0,1.0,0.0,0.0,148,17,0.1149
access-binary-trees,0.1,0.5,0.0,1.0,0.0,1.0,180,15,0.0833
access-binary-trees,0.1,0.5,0.0,1.0,1.0,0.0,148,22,0.1486
access-binary-trees,0.1,0.5,0.0,1.0,1.0,1.0,172,10,0.0581
access-binary-trees,0.1,0.5,1.0,0.0,0.0,0.0,148,17,0.1149
access-binary-trees,0.1,0.5,1.0,0.0,0.0,1.0,180,13,0.0722
access-binary-trees,0.1,0.5,1.0,0.0,1.0,0.0,148,23,0.1554
access-binary-trees,0.1,0.5,1.0,0.0,1.0,1.0,172,9,0.0523
access-binary-trees,0.1,0.5,1.0,1.0,0.0,0.0,148,23,0.1554
access-binary-trees,0.1,0.5,1.0,1.0,0.0,1.0,172,15,0.0872
access-binary-trees,0.1,0.5,1.0,1.0,1.0,0.0,148,27,0.1824
access-binary-trees,0.1,0.5,1.0,1.0,1.0,1.0,168,11,0.0655
access-binary-trees,0.5,0.5,0.0,0.0,0.0,0.0,82,0,0.0000
access-binary-trees,0.5,0.5,0.0,0.0,0.0,1.0,274,3,0.0109
access-binary-trees,0.5,0.5,0.0,0.0,1.0,0.0,212,6,0.0283
access-binary-trees,0.5,0.5,0.0,0.0,1.0,1.0,244,13,0.0533
