testcase,breakpoints per line,actions per line,lines sum,changed lines,changed lines/sum
3d-cube,0.0,0.1,734,196,0.2670
3d-morph,0.0,0.1,136,23,0.1691
3d-raytrace,0.0,0.1,1937,1140,0.5885
access-binary-trees,0.0,0.1,61,21,0.3443
access-fannkuch,0.0,0.1,312,30,0.0962
access-nbody,0.0,0.1,241,82,0.3402
access-nsieve,0.0,0.1,84,20,0.2381
bitops-3bit-bits-in-byte,0.0,0.1,69,27,0.3913
bitops-bits-in-byte,0.0,0.1,60,1,0.0167
bitops-bitwise-and,0.0,0.1,14,1,0.0714
bitops-nsieve-bits,0.0,0.1,53,12,0.2264
controlflow-recursive,0.0,0.1,45,20,0.4444
crypto-aes,0.0,0.1,2780,2233,0.8032
crypto-md5,0.0,0.1,5952,5605,0.9417
crypto-sha1,0.0,0.1,5199,4768,0.9171
date-format-tofte,0.0,0.1,2671,331,0.1239
date-format-xparb,0.0,0.1,606,255,0.4208
math-cordic,0.0,0.1,100,13,0.1300
math-partial-sums,0.0,0.1,89,19,0.2135
math-spectral-norm,0.0,0.1,121,40,0.3306
regexp-dna,0.0,0.1,441,61,0.1383
string-base64,0.0,0.1,159,68,0.4277
string-fasta,0.0,0.1,141,7,0.0496
string-tagcloud,0.0,0.1,570,169,0.2965
string-unpack-code,0.0,0.1,121,61,0.5041
string-validate-input,0.0,0.1,196,84,0.4286
