Browser,SunSpider testcase,# breakpoints,# diff lines/combination
chrome,3d-cube,17,0.0
chrome,3d-cube,35,0.0
chrome,3d-cube,71,0.0
chrome,3d-cube,178,0.0
chrome,3d-cube,356,0.0
chrome,3d-morph,3,0.0
chrome,3d-morph,6,0.0
chrome,3d-morph,12,0.0
chrome,3d-morph,32,0.0
chrome,3d-morph,64,0.0
chrome,3d-raytrace,22,0.0
chrome,3d-raytrace,44,0.0
chrome,3d-raytrace,89,0.0
chrome,3d-raytrace,224,0.0
chrome,3d-raytrace,448,0.0
chrome,access-binary-trees,2,0.0
chrome,access-binary-trees,5,0.0
chrome,access-binary-trees,10,0.0
chrome,access-binary-trees,27,0.0
chrome,access-binary-trees,54,0.0
chrome,access-fannkuch,3,0.0
chrome,access-fannkuch,7,0.0
chrome,access-fannkuch,14,0.0
chrome,access-fannkuch,35,0.0
chrome,access-fannkuch,71,0.0
chrome,access-nbody,8,0.0
chrome,access-nbody,17,0.0
chrome,access-nbody,35,0.0
chrome,access-nbody,87,0.0
chrome,access-nbody,175,0.0
chrome,access-nsieve,2,0.0
chrome,access-nsieve,4,0.0
chrome,access-nsieve,9,0.0
chrome,access-nsieve,23,0.0
chrome,access-nsieve,47,0.0
chrome,bitops-3bit-bits-in-byte,2,0.0
chrome,bitops-3bit-bits-in-byte,4,0.0
chrome,bitops-3bit-bits-in-byte,8,0.0
chrome,bitops-3bit-bits-in-byte,20,0.0
chrome,bitops-3bit-bits-in-byte,41,0.0
chrome,bitops-bits-in-byte,1,0.0
chrome,bitops-bits-in-byte,3,0.0
chrome,bitops-bits-in-byte,6,0.0
chrome,bitops-bits-in-byte,15,0.0
chrome,bitops-bits-in-byte,31,0.0
chrome,bitops-bitwise-and,1,0.0
chrome,bitops-bitwise-and,3,0.0
chrome,bitops-bitwise-and,7,0.0
chrome,bitops-bitwise-and,18,0.0
chrome,bitops-bitwise-and,36,0.0
chrome,bitops-nsieve-bits,2,0.0
chrome,bitops-nsieve-bits,4,0.0
chrome,bitops-nsieve-bits,8,0.0
chrome,bitops-nsieve-bits,21,0.0
chrome,bitops-nsieve-bits,43,0.0
chrome,controlflow-recursive,1,0.0
chrome,controlflow-recursive,3,0.0
chrome,controlflow-recursive,6,0.0
chrome,controlflow-recursive,16,0.0
chrome,controlflow-recursive,33,0.0
chrome,crypto-aes,21,0.0
chrome,crypto-aes,42,0.0
chrome,crypto-aes,85,0.0
chrome,crypto-aes,213,0.0
chrome,crypto-aes,427,0.0
chrome,crypto-md5,14,0.0
chrome,crypto-md5,29,0.0
chrome,crypto-md5,58,0.0
chrome,crypto-md5,146,0.0
chrome,crypto-md5,293,0.0
chrome,crypto-sha1,12,0.0
chrome,crypto-sha1,24,0.0
chrome,crypto-sha1,48,0.0
chrome,crypto-sha1,121,0.0
chrome,crypto-sha1,243,0.0
chrome,date-format-tofte,15,0.0
chrome,date-format-tofte,30,0.0
chrome,date-format-tofte,60,0.0
chrome,date-format-tofte,151,0.0
chrome,date-format-tofte,302,0.0
chrome,date-format-xparb,21,0.0
chrome,date-format-xparb,42,0.0
chrome,date-format-xparb,84,0.0
chrome,date-format-xparb,210,0.0
chrome,date-format-xparb,421,0.0
chrome,math-cordic,5,0.0
chrome,math-cordic,10,0.0
chrome,math-cordic,21,0.0
chrome,math-cordic,53,0.0
chrome,math-cordic,107,0.0
chrome,math-partial-sums,2,0.0
chrome,math-partial-sums,4,0.0
chrome,math-partial-sums,9,0.0
chrome,math-partial-sums,23,0.0
chrome,math-partial-sums,46,0.0
chrome,math-spectral-norm,3,0.0
chrome,math-spectral-norm,6,0.0
chrome,math-spectral-norm,12,0.0
chrome,math-spectral-norm,30,0.0
chrome,math-spectral-norm,60,0.0
chrome,regexp-dna,86,0.0
chrome,regexp-dna,172,0.0
