Browser,SunSpider testcase,# breakpoints,# diff lines/combination
chrome,3d-cube,17,0.0
chrome,3d-cube,35,0.0
chrome,3d-cube,71,0.0
chrome,3d-cube,178,0.0
chrome,3d-cube,222,0.0
chrome,3d-morph,3,0.0
chrome,3d-morph,6,0.0
chrome,3d-morph,12,0.0
chrome,3d-morph,22,0.0
chrome,3d-raytrace,22,0.0
chrome,3d-raytrace,45,0.0
chrome,3d-raytrace,90,0.0
chrome,3d-raytrace,225,0.0
chrome,3d-raytrace,286,0.0
chrome,access-binary-trees,2,0.0
chrome,access-binary-trees,5,0.0
chrome,access-binary-trees,10,0.0
chrome,access-binary-trees,27,0.0
chrome,access-binary-trees,29,0.0
chrome,access-fannkuch,3,0.0
chrome,access-fannkuch,7,0.0
chrome,access-fannkuch,14,0.0
chrome,access-fannkuch,35,0.0
chrome,access-fannkuch,45,0.0
chrome,access-nbody,8,0.0
chrome,access-nbody,17,0.0
chrome,access-nbody,35,0.0
chrome,access-nbody,87,0.0
chrome,access-nbody,92,0.0
chrome,access-nsieve,2,0.0
chrome,access-nsieve,4,0.0
chrome,access-nsieve,9,0.0
chrome,access-nsieve,23,0.0
chrome,access-nsieve,26,0.0
chrome,bitops-3bit-bits-in-byte,2,0.0
chrome,bitops-3bit-bits-in-byte,4,0.0
chrome,bitops-3bit-bits-in-byte,8,0.0
chrome,bitops-3bit-bits-in-byte,16,0.0
chrome,bitops-bits-in-byte,1,0.0
chrome,bitops-bits-in-byte,3,0.0
chrome,bitops-bits-in-byte,6,0.0
chrome,bitops-bits-in-byte,15,0.0
chrome,bitops-bits-in-byte,17,0.0
chrome,bitops-bitwise-and,1,0.0
chrome,bitops-bitwise-and,3,0.0
chrome,bitops-bitwise-and,7,0.0
chrome,bitops-bitwise-and,8,0.0
chrome,bitops-nsieve-bits,2,0.0
chrome,bitops-nsieve-bits,4,0.0
chrome,bitops-nsieve-bits,8,0.0
chrome,bitops-nsieve-bits,21,0.0
chrome,bitops-nsieve-bits,25,0.0
chrome,controlflow-recursive,1,0.0
chrome,controlflow-recursive,3,0.0
chrome,controlflow-recursive,6,0.0
chrome,controlflow-recursive,16,0.0
chrome,controlflow-recursive,19,0.0
chrome,crypto-aes,21,0.0
chrome,crypto-aes,42,0.0
chrome,crypto-aes,85,0.0
chrome,crypto-aes,191,0.0
chrome,crypto-md5,14,0.0
chrome,crypto-md5,29,0.0
chrome,crypto-md5,58,0.0
chrome,crypto-md5,146,0.0
chrome,crypto-md5,152,0.0
chrome,crypto-sha1,12,0.0
chrome,crypto-sha1,24,0.0
chrome,crypto-sha1,48,0.0
chrome,crypto-sha1,103,0.0
chrome,date-format-tofte,15,0.0
chrome,date-format-tofte,30,0.0
chrome,date-format-tofte,60,0.0
chrome,date-format-tofte,134,0.0
chrome,date-format-xparb,21,0.0
chrome,date-format-xparb,42,0.0
chrome,date-format-xparb,84,0.0
chrome,date-format-xparb,179,0.0
chrome,math-cordic,5,0.0
chrome,math-cordic,10,0.0
chrome,math-cordic,21,0.0
chrome,math-cordic,37,0.0
chrome,math-partial-sums,2,0.0
chrome,math-partial-sums,4,0.0
chrome,math-partial-sums,9,0.0
chrome,math-partial-sums,23,0.0
chrome,math-partial-sums,28,0.0
chrome,math-spectral-norm,3,0.0
chrome,math-spectral-norm,6,0.0
chrome,math-spectral-norm,12,0.0
chrome,math-spectral-norm,30,0.0
chrome,math-spectral-norm,35,0.0
chrome,regexp-dna,18,0.0
chrome,string-base64,6,0.0
chrome,string-base64,13,0.0
chrome,string-base64,27,0.0
chrome,string-base64,49,0.0
chrome,string-fasta,4,0.0
chrome,string-fasta,9,0.0
chrome,string-fasta,18,0.0
chrome,string-fasta,45,0.0
chrome,string-tagcloud,13,0.0
chrome,string-tagcloud,27,0.0
chrome,string-tagcloud,54,0.0
