Browser,Transformation,SunSpider testcase,# diff lines/combination
chrome,hoist-funcs,3d-cube,0.0
chrome,hoist-funcs,3d-morph,0.0
chrome,hoist-funcs,3d-raytrace,0.002050580997949419
chrome,hoist-funcs,access-binary-trees,0.0
chrome,hoist-funcs,access-fannkuch,0.0
chrome,hoist-funcs,access-nbody,0.0
chrome,hoist-funcs,access-nsieve,0.0
chrome,hoist-funcs,bitops-3bit-bits-in-byte,0.024390243902439025
chrome,hoist-funcs,bitops-bits-in-byte,0.07317073170731707
chrome,hoist-funcs,bitops-bitwise-and,0.0
chrome,hoist-funcs,bitops-nsieve-bits,0.0
chrome,hoist-funcs,controlflow-recursive,0.0
chrome,hoist-funcs,crypto-aes,0.003770739064856712
chrome,hoist-funcs,crypto-md5,0.007462686567164179
chrome,hoist-funcs,crypto-sha1,0.011335012594458438
chrome,hoist-funcs,date-format-tofte,0.0
chrome,hoist-funcs,date-format-xparb,0.0
chrome,hoist-funcs,math-cordic,0.0
chrome,hoist-funcs,math-partial-sums,0.0
chrome,hoist-funcs,math-spectral-norm,0.0
chrome,hoist-funcs,regexp-dna,0.0
chrome,hoist-funcs,string-base64,0.0
chrome,hoist-funcs,string-fasta,0.0
chrome,hoist-funcs,string-tagcloud,0.5974025974025974
chrome,hoist-funcs,string-unpack-code,0.0
chrome,hoist-funcs,string-validate-input,0.0
chrome,hoist-randomize-funcs,3d-cube,0.0
chrome,hoist-randomize-funcs,3d-morph,0.0
chrome,hoist-randomize-funcs,3d-raytrace,0.002050580997949419
chrome,hoist-randomize-funcs,access-binary-trees,0.0
chrome,hoist-randomize-funcs,access-fannkuch,0.0
chrome,hoist-randomize-funcs,access-nbody,0.0
chrome,hoist-randomize-funcs,access-nsieve,0.0
chrome,hoist-randomize-funcs,bitops-3bit-bits-in-byte,0.024390243902439025
chrome,hoist-randomize-funcs,bitops-bits-in-byte,0.07317073170731707
chrome,hoist-randomize-funcs,bitops-bitwise-and,0.0
chrome,hoist-randomize-funcs,bitops-nsieve-bits,0.0
chrome,hoist-randomize-funcs,controlflow-recursive,0.0
chrome,hoist-randomize-funcs,crypto-aes,0.003770739064856712
chrome,hoist-randomize-funcs,crypto-md5,0.007462686567164179
chrome,hoist-randomize-funcs,crypto-sha1,0.011335012594458438
chrome,hoist-randomize-funcs,date-format-tofte,0.0
chrome,hoist-randomize-funcs,date-format-xparb,0.0
chrome,hoist-randomize-funcs,math-cordic,0.0
chrome,hoist-randomize-funcs,math-partial-sums,0.0
chrome,hoist-randomize-funcs,math-spectral-norm,0.0
chrome,hoist-randomize-funcs,regexp-dna,0.0
chrome,hoist-randomize-funcs,string-base64,0.0
chrome,hoist-randomize-funcs,string-fasta,0.0
chrome,hoist-randomize-funcs,string-tagcloud,0.5974025974025974
chrome,hoist-randomize-funcs,string-unpack-code,0.0
chrome,hoist-randomize-funcs,string-validate-input,0.0
chrome,hoist-vars,3d-cube,0.0
chrome,hoist-vars,3d-morph,0.05314009661835749
chrome,hoist-vars,3d-raytrace,0.02117486338797814
chrome,hoist-vars,access-binary-trees,0.14705882352941177
chrome,hoist-vars,access-fannkuch,0.008928571428571428
chrome,hoist-vars,access-nbody,0.005366726296958855
chrome,hoist-vars,access-nsieve,0.09836065573770492
chrome,hoist-vars,bitops-3bit-bits-in-byte,0.047619047619047616
chrome,hoist-vars,bitops-bits-in-byte,0.07142857142857142
chrome,hoist-vars,bitops-bitwise-and,0.42857142857142855
chrome,hoist-vars,bitops-nsieve-bits,0.18888888888888888
chrome,hoist-vars,controlflow-recursive,0.041666666666666664
chrome,hoist-vars,crypto-aes,0.005279034690799397
chrome,hoist-vars,crypto-md5,0.021344717182497332
chrome,hoist-vars,crypto-sha1,0.023989898989898988
chrome,hoist-vars,date-format-tofte,0.008316008316008316
chrome,hoist-vars,date-format-xparb,0.0334075723830735
chrome,hoist-vars,math-cordic,0.036585365853658534
chrome,hoist-vars,math-partial-sums,0.028985507246376812
chrome,hoist-vars,math-spectral-norm,0.03954802259887006
chrome,hoist-vars,regexp-dna,0.2293882978723404
chrome,hoist-vars,string-base64,0.0
chrome,hoist-vars,string-fasta,0.0
chrome,hoist-vars,string-tagcloud,0.6731517509727627
chrome,hoist-vars,string-unpack-code,0.057971014492753624
chrome,hoist-vars,string-validate-input,0.023972602739726026
chrome,mangle-esmangle,3d-cube,0.0
chrome,mangle-esmangle,3d-morph,0.0
chrome,mangle-esmangle,3d-raytrace,0.0
chrome,mangle-esmangle,access-binary-trees,0.0
chrome,mangle-esmangle,access-fannkuch,0.0
chrome,mangle-esmangle,access-nbody,0.0
chrome,mangle-esmangle,access-nsieve,0.0
chrome,mangle-esmangle,bitops-3bit-bits-in-byte,0.0
chrome,mangle-esmangle,bitops-bits-in-byte,0.0
