bpIds,cols,testcase,linesSum,linesDiff,linesDiffByLinesSum
false,false,manual-bindings,192,0,0.000000
false,false,manual-multiline-decls,72,5,0.069444
false,false,manual-wtf,344,16,0.046512
false,false,pta-warm-up-quizzes-10,12,0,0.000000
false,false,pta-warm-up-quizzes-11,24,1,0.041667
false,false,pta-warm-up-quizzes-1,31,2,0.064516
false,false,pta-warm-up-quizzes-2,12,0,0.000000
false,false,pta-warm-up-quizzes-3,28,0,0.000000
false,false,pta-warm-up-quizzes-4,40,1,0.025000
false,false,pta-warm-up-quizzes-5,16,0,0.000000
false,false,pta-warm-up-quizzes-6,27,4,0.148148
false,false,pta-warm-up-quizzes-7,24,0,0.000000
false,false,pta-warm-up-quizzes-8,32,0,0.000000
false,false,pta-warm-up-quizzes-9,16,0,0.000000
false,false,sunspider-3d-cube,1423,48,0.033732
false,false,sunspider-3d-morph,255,3,0.011765
false,false,sunspider-3d-raytrace,1791,57,0.031826
false,false,sunspider-access-binary-trees,216,6,0.027778
false,false,sunspider-access-fannkuch,283,7,0.024735
false,false,sunspider-access-nbody,699,41,0.058655
false,false,sunspider-access-nsieve,187,10,0.053476
false,false,sunspider-bitops-3bit-bits-in-byte,163,7,0.042945
false,false,sunspider-bitops-bits-in-byte,123,6,0.048780
false,false,sunspider-bitops-bitwise-and,143,2,0.013986
false,false,sunspider-bitops-nsieve-bits,171,9,0.052632
false,false,sunspider-controlflow-recursive,131,8,0.061069
false,false,sunspider-crypto-aes,1707,78,0.045694
false,false,sunspider-crypto-md5,1171,52,0.044406
false,false,sunspider-crypto-sha1,915,58,0.063388
false,false,sunspider-date-format-tofte,1207,48,0.039768
false,false,sunspider-date-format-xparb,1683,65,0.038622
false,false,sunspider-math-cordic,423,21,0.049645
false,false,sunspider-math-partial-sums,183,7,0.038251
false,false,sunspider-math-spectral-norm,239,11,0.046025
false,false,sunspider-regexp-dna,6887,13,0.001888
false,false,sunspider-string-base64,551,15,0.027223
false,false,sunspider-string-fasta,363,19,0.052342
false,false,sunspider-string-tagcloud,1087,17,0.015639
false,false,sunspider-string-unpack-code,327,2,0.006116
false,false,sunspider-string-validate-input,371,10,0.026954
false,true,manual-bindings,192,42,0.218750
false,true,manual-multiline-decls,72,15,0.208333
false,true,manual-wtf,344,20,0.058140
false,true,pta-warm-up-quizzes-10,12,1,0.083333
false,true,pta-warm-up-quizzes-11,24,4,0.166667
false,true,pta-warm-up-quizzes-1,31,5,0.161290
false,true,pta-warm-up-quizzes-2,12,2,0.166667
false,true,pta-warm-up-quizzes-3,28,2,0.071429
false,true,pta-warm-up-quizzes-4,40,5,0.125000
false,true,pta-warm-up-quizzes-5,16,2,0.125000
false,true,pta-warm-up-quizzes-6,27,6,0.222222
false,true,pta-warm-up-quizzes-7,24,2,0.083333
false,true,pta-warm-up-quizzes-8,32,3,0.093750
false,true,pta-warm-up-quizzes-9,16,0,0.000000
false,true,sunspider-3d-cube,1423,329,0.231202
false,true,sunspider-3d-morph,255,57,0.223529
false,true,sunspider-3d-raytrace,1791,404,0.225572
false,true,sunspider-access-binary-trees,216,47,0.217593
false,true,sunspider-access-fannkuch,283,67,0.236749
false,true,sunspider-access-nbody,697,159,0.228121
false,true,sunspider-access-nsieve,187,43,0.229947
false,true,sunspider-bitops-3bit-bits-in-byte,163,20,0.122699
false,true,sunspider-bitops-bits-in-byte,123,21,0.170732
false,true,sunspider-bitops-bitwise-and,143,9,0.062937
false,true,sunspider-bitops-nsieve-bits,171,38,0.222222
false,true,sunspider-controlflow-recursive,131,29,0.221374
false,true,sunspider-crypto-aes,1707,408,0.239016
false,true,sunspider-crypto-md5,1171,276,0.235696
false,true,sunspider-crypto-sha1,915,217,0.237158
false,true,sunspider-date-format-tofte,1207,299,0.247722
false,true,sunspider-date-format-xparb,1683,316,0.187760
false,true,sunspider-math-cordic,423,104,0.245863
false,true,sunspider-math-partial-sums,183,43,0.234973
false,true,sunspider-math-spectral-norm,239,51,0.213389
false,true,sunspider-regexp-dna,6887,38,0.005518
false,true,sunspider-string-base64,551,134,0.243194
false,true,sunspider-string-fasta,363,79,0.217631
false,true,sunspider-string-tagcloud,1087,230,0.211592
false,true,sunspider-string-unpack-code,327,73,0.223242
false,true,sunspider-string-validate-input,371,83,0.223720
true,false,manual-bindings,192,0,0.000000
true,false,manual-multiline-decls,72,5,0.069444
true,false,manual-wtf,344,16,0.046512
true,false,pta-warm-up-quizzes-10,12,0,0.000000
true,false,pta-warm-up-quizzes-11,24,1,0.041667
true,false,pta-warm-up-quizzes-1,31,2,0.064516
true,false,pta-warm-up-quizzes-2,12,0,0.000000
true,false,pta-warm-up-quizzes-3,28,0,0.000000
true,false,pta-warm-up-quizzes-4,40,1,0.025000
true,false,pta-warm-up-quizzes-5,16,0,0.000000
true,false,pta-warm-up-quizzes-6,27,4,0.148148
true,false,pta-warm-up-quizzes-7,24,0,0.000000
true,false,pta-warm-up-quizzes-8,32,0,0.000000
true,false,pta-warm-up-quizzes-9,16,0,0.000000
true,false,sunspider-3d-cube,1423,48,0.033732
true,false,sunspider-3d-morph,255,3,0.011765
true,false,sunspider-3d-raytrace,1791,57,0.031826
true,false,sunspider-access-binary-trees,216,6,0.027778
true,false,sunspider-access-fannkuch,283,7,0.024735
true,false,sunspider-access-nbody,699,41,0.058655
true,false,sunspider-access-nsieve,187,10,0.053476
true,false,sunspider-bitops-3bit-bits-in-byte,163,7,0.042945
true,false,sunspider-bitops-bits-in-byte,123,6,0.048780
true,false,sunspider-bitops-bitwise-and,143,2,0.013986
true,false,sunspider-bitops-nsieve-bits,171,9,0.052632
true,false,sunspider-controlflow-recursive,131,8,0.061069
true,false,sunspider-crypto-aes,1707,78,0.045694
true,false,sunspider-crypto-md5,1171,52,0.044406
true,false,sunspider-crypto-sha1,912,80,0.087719
true,false,sunspider-date-format-tofte,1207,48,0.039768
true,false,sunspider-date-format-xparb,1683,65,0.038622
true,false,sunspider-math-cordic,427,8,0.018735
true,false,sunspider-math-partial-sums,183,7,0.038251
true,false,sunspider-math-spectral-norm,239,11,0.046025
true,false,sunspider-regexp-dna,6887,13,0.001888
true,false,sunspider-string-base64,551,15,0.027223
true,false,sunspider-string-fasta,363,19,0.052342
true,false,sunspider-string-tagcloud,1087,17,0.015639
true,false,sunspider-string-unpack-code,327,2,0.006116
true,false,sunspider-string-validate-input,371,10,0.026954
true,true,manual-bindings,192,42,0.218750
true,true,manual-multiline-decls,72,15,0.208333
true,true,manual-wtf,344,20,0.058140
true,true,pta-warm-up-quizzes-10,12,1,0.083333
true,true,pta-warm-up-quizzes-11,24,4,0.166667
true,true,pta-warm-up-quizzes-1,31,5,0.161290
true,true,pta-warm-up-quizzes-2,12,2,0.166667
true,true,pta-warm-up-quizzes-3,28,2,0.071429
true,true,pta-warm-up-quizzes-4,40,5,0.125000
true,true,pta-warm-up-quizzes-5,16,2,0.125000
true,true,pta-warm-up-quizzes-6,27,6,0.222222
true,true,pta-warm-up-quizzes-7,24,2,0.083333
true,true,pta-warm-up-quizzes-8,32,3,0.093750
true,true,pta-warm-up-quizzes-9,16,0,0.000000
true,true,sunspider-3d-cube,1423,329,0.231202
true,true,sunspider-3d-morph,255,57,0.223529
true,true,sunspider-3d-raytrace,1791,404,0.225572
true,true,sunspider-access-binary-trees,216,47,0.217593
true,true,sunspider-access-fannkuch,283,67,0.236749
true,true,sunspider-access-nbody,699,153,0.218884
true,true,sunspider-access-nsieve,187,43,0.229947
true,true,sunspider-bitops-3bit-bits-in-byte,163,20,0.122699
true,true,sunspider-bitops-bits-in-byte,123,21,0.170732
true,true,sunspider-bitops-bitwise-and,143,9,0.062937
true,true,sunspider-bitops-nsieve-bits,171,38,0.222222
true,true,sunspider-controlflow-recursive,131,29,0.221374
true,true,sunspider-crypto-aes,1700,416,0.244706
true,true,sunspider-crypto-md5,1171,276,0.235696
