bpIds,cols,seed,breakpointsPerLine,actionsCount,testcase,linesSum,linesDiff,linesDiffByLinesSum
false,false,0,0.1,10,3d-cube,70,0,0.000000
false,false,0,0.1,10,3d-morph,12,0,0.000000
false,false,0,0.1,10,3d-raytrace,88,0,0.000000
false,false,0,0.1,10,access-binary-trees,10,0,0.000000
false,false,0,0.1,10,access-fannkuch,14,0,0.000000
false,false,0,0.1,10,access-nbody,34,0,0.000000
false,false,0,0.1,10,access-nsieve,8,0,0.000000
false,false,0,0.1,10,bitops-3bit-bits-in-byte,8,0,0.000000
false,false,0,0.1,10,bitops-bits-in-byte,6,0,0.000000
false,false,0,0.1,10,bitops-bitwise-and,6,0,0.000000
false,false,0,0.1,10,bitops-nsieve-bits,8,0,0.000000
false,false,0,0.1,10,controlflow-recursive,6,0,0.000000
false,false,0,0.1,10,crypto-aes,84,0,0.000000
false,false,0,0.1,10,crypto-md5,58,0,0.000000
false,false,0,0.1,10,crypto-sha1,44,0,0.000000
false,false,0,0.1,10,date-format-tofte,60,0,0.000000
false,false,0,0.1,10,date-format-xparb,84,0,0.000000
false,false,0,0.1,10,math-cordic,20,0,0.000000
false,false,0,0.1,10,math-partial-sums,8,0,0.000000
false,false,0,0.1,10,math-spectral-norm,12,0,0.000000
false,false,0,0.1,10,regexp-dna,344,0,0.000000
false,false,0,0.1,10,string-base64,26,0,0.000000
false,false,0,0.1,10,string-fasta,18,0,0.000000
false,false,0,0.1,10,string-tagcloud,54,0,0.000000
false,false,0,0.1,10,string-unpack-code,16,0,0.000000
false,false,0,0.1,10,string-validate-input,18,0,0.000000
false,false,0,0.2,10,3d-cube,142,0,0.000000
false,false,0,0.2,10,3d-morph,24,0,0.000000
false,false,0,0.2,10,3d-raytrace,178,0,0.000000
false,false,0,0.2,10,access-binary-trees,20,0,0.000000
false,false,0,0.2,10,access-fannkuch,28,0,0.000000
false,false,0,0.2,10,access-nbody,70,0,0.000000
false,false,0,0.2,10,access-nsieve,18,0,0.000000
false,false,0,0.2,10,bitops-3bit-bits-in-byte,16,0,0.000000
false,false,0,0.2,10,bitops-bits-in-byte,12,0,0.000000
false,false,0,0.2,10,bitops-bitwise-and,14,0,0.000000
false,false,0,0.2,10,bitops-nsieve-bits,16,0,0.000000
false,false,0,0.2,10,controlflow-recursive,12,0,0.000000
false,false,0,0.2,10,crypto-aes,170,0,0.000000
false,false,0,0.2,10,crypto-md5,116,0,0.000000
false,false,0,0.2,10,crypto-sha1,90,0,0.000000
false,false,0,0.2,10,date-format-tofte,120,0,0.000000
false,false,0,0.2,10,date-format-xparb,168,0,0.000000
false,false,0,0.2,10,math-cordic,42,0,0.000000
false,false,0,0.2,10,math-partial-sums,18,0,0.000000
false,false,0,0.2,10,math-spectral-norm,24,0,0.000000
false,false,0,0.2,10,regexp-dna,688,0,0.000000
false,false,0,0.2,10,string-base64,54,0,0.000000
false,false,0,0.2,10,string-fasta,36,0,0.000000
false,false,0,0.2,10,string-tagcloud,108,0,0.000000
false,false,0,0.2,10,string-unpack-code,32,0,0.000000
false,false,0,0.2,10,string-validate-input,36,0,0.000000
false,false,0,0.5,10,3d-cube,356,0,0.000000
false,false,0,0.5,10,3d-morph,64,0,0.000000
false,false,0,0.5,10,3d-raytrace,448,0,0.000000
false,false,0,0.5,10,access-binary-trees,54,0,0.000000
false,false,0,0.5,10,access-fannkuch,70,0,0.000000
false,false,0,0.5,10,access-nbody,174,0,0.000000
false,false,0,0.5,10,access-nsieve,46,0,0.000000
false,false,0,0.5,10,bitops-3bit-bits-in-byte,40,0,0.000000
false,false,0,0.5,10,bitops-bits-in-byte,30,0,0.000000
false,false,0,0.5,10,bitops-bitwise-and,36,0,0.000000
false,false,0,0.5,10,bitops-nsieve-bits,42,0,0.000000
false,false,0,0.5,10,controlflow-recursive,32,0,0.000000
false,false,0,0.5,10,crypto-aes,426,0,0.000000
false,false,0,0.5,10,crypto-md5,292,0,0.000000
false,false,0,0.5,10,crypto-sha1,228,0,0.000000
false,false,0,0.5,10,date-format-tofte,302,0,0.000000
false,false,0,0.5,10,date-format-xparb,420,0,0.000000
false,false,0,0.5,10,math-cordic,106,0,0.000000
false,false,0,0.5,10,math-partial-sums,46,0,0.000000
false,false,0,0.5,10,math-spectral-norm,60,0,0.000000
false,false,0,0.5,10,regexp-dna,1722,0,0.000000
false,false,0,0.5,10,string-base64,138,0,0.000000
false,false,0,0.5,10,string-fasta,90,0,0.000000
false,false,0,0.5,10,string-tagcloud,272,0,0.000000
false,false,0,0.5,10,string-unpack-code,82,0,0.000000
false,false,0,0.5,10,string-validate-input,92,0,0.000000
false,false,0,1.0,10,3d-cube,550,0,0.000000
false,false,0,1.0,10,3d-morph,112,0,0.000000
false,false,0,1.0,10,3d-raytrace,716,0,0.000000
false,false,0,1.0,10,access-binary-trees,84,0,0.000000
false,false,0,1.0,10,access-fannkuch,114,0,0.000000
false,false,0,1.0,10,access-nbody,228,0,0.000000
false,false,0,1.0,10,access-nsieve,66,0,0.000000
false,false,0,1.0,10,bitops-3bit-bits-in-byte,64,0,0.000000
false,false,0,1.0,10,bitops-bits-in-byte,42,0,0.000000
false,false,0,1.0,10,bitops-bitwise-and,68,0,0.000000
false,false,0,1.0,10,bitops-nsieve-bits,60,0,0.000000
false,false,0,1.0,10,controlflow-recursive,48,0,0.000000
false,false,0,1.0,10,crypto-aes,596,0,0.000000
false,false,0,1.0,10,crypto-md5,448,0,0.000000
false,false,0,1.0,10,crypto-sha1,308,0,0.000000
false,false,0,1.0,10,date-format-tofte,452,0,0.000000
false,false,0,1.0,10,date-format-xparb,604,0,0.000000
false,false,0,1.0,10,math-cordic,172,0,0.000000
