bpIds,cols,seed,breakpointsPerLine,actionsCount,testcase,linesSum,linesDiff,linesDiffByLinesSum
false,false,0,0.1,100,3d-cube,374,19,0.050802
false,false,0,0.1,100,3d-morph,322,25,0.077640
false,false,0,0.1,100,3d-raytrace,400,37,0.092500
false,false,0,0.1,100,access-binary-trees,279,31,0.111111
false,false,0,0.1,100,access-fannkuch,328,45,0.137195
false,false,0,0.1,100,access-nbody,339,52,0.153392
false,false,0,0.1,100,access-nsieve,28,2,0.071429
false,false,0,0.1,100,bitops-3bit-bits-in-byte,310,31,0.100000
false,false,0,0.1,100,bitops-bits-in-byte,313,60,0.191693
false,false,0,0.1,100,bitops-bitwise-and,10,0,0.000000
false,false,0,0.1,100,bitops-nsieve-bits,16,0,0.000000
false,false,0,0.1,100,controlflow-recursive,322,36,0.111801
false,false,0,0.1,100,crypto-aes,391,45,0.115090
false,false,0,0.1,100,crypto-md5,342,49,0.143275
false,false,0,0.1,100,crypto-sha1,329,45,0.136778
false,false,0,0.1,100,date-format-tofte,377,41,0.108753
false,false,0,0.1,100,date-format-xparb,377,66,0.175066
false,false,0,0.1,100,math-cordic,331,11,0.033233
false,false,0,0.1,100,math-partial-sums,88,5,0.056818
false,false,0,0.1,100,math-spectral-norm,299,24,0.080268
false,false,0,0.1,100,regexp-dna,374,22,0.058824
false,false,0,0.1,100,string-base64,343,106,0.309038
false,false,0,0.1,100,string-fasta,329,1,0.003040
false,false,0,0.1,100,string-tagcloud,333,28,0.084084
false,false,0,0.1,100,string-unpack-code,187,142,0.759358
false,false,0,0.1,100,string-validate-input,306,51,0.166667
false,false,0,0.1,10,3d-cube,108,1,0.009259
false,false,0,0.1,10,3d-morph,48,2,0.041667
false,false,0,0.1,10,3d-raytrace,127,2,0.015748
false,false,0,0.1,10,access-binary-trees,44,2,0.045455
false,false,0,0.1,10,access-fannkuch,50,7,0.140000
false,false,0,0.1,10,access-nbody,70,2,0.028571
false,false,0,0.1,10,access-nsieve,28,2,0.071429
false,false,0,0.1,10,bitops-3bit-bits-in-byte,44,2,0.045455
false,false,0,0.1,10,bitops-bits-in-byte,42,4,0.095238
false,false,0,0.1,10,bitops-bitwise-and,10,0,0.000000
false,false,0,0.1,10,bitops-nsieve-bits,16,0,0.000000
false,false,0,0.1,10,controlflow-recursive,45,2,0.044444
false,false,0,0.1,10,crypto-aes,123,2,0.016260
false,false,0,0.1,10,crypto-md5,93,10,0.107527
false,false,0,0.1,10,crypto-sha1,81,5,0.061728
false,false,0,0.1,10,date-format-tofte,97,2,0.020619
false,false,0,0.1,10,date-format-xparb,123,6,0.048780
false,false,0,0.1,10,math-cordic,56,1,0.017857
false,false,0,0.1,10,math-partial-sums,44,2,0.045455
false,false,0,0.1,10,math-spectral-norm,48,2,0.041667
false,false,0,0.1,10,regexp-dna,368,16,0.043478
false,false,0,0.1,10,string-base64,63,10,0.158730
false,false,0,0.1,10,string-fasta,54,0,0.000000
false,false,0,0.1,10,string-tagcloud,90,2,0.022222
false,false,0,0.1,10,string-unpack-code,53,8,0.150943
false,false,0,0.1,10,string-validate-input,52,3,0.057692
false,false,0,0.1,50,3d-cube,225,11,0.048889
false,false,0,0.1,50,3d-morph,176,12,0.068182
false,false,0,0.1,50,3d-raytrace,256,23,0.089844
false,false,0,0.1,50,access-binary-trees,151,13,0.086093
false,false,0,0.1,50,access-fannkuch,179,24,0.134078
false,false,0,0.1,50,access-nbody,194,24,0.123711
false,false,0,0.1,50,access-nsieve,28,2,0.071429
false,false,0,0.1,50,bitops-3bit-bits-in-byte,166,13,0.078313
false,false,0,0.1,50,bitops-bits-in-byte,169,28,0.165680
false,false,0,0.1,50,bitops-bitwise-and,10,0,0.000000
false,false,0,0.1,50,bitops-nsieve-bits,16,0,0.000000
false,false,0,0.1,50,controlflow-recursive,173,12,0.069364
false,false,0,0.1,50,crypto-aes,247,18,0.072874
false,false,0,0.1,50,crypto-md5,208,27,0.129808
false,false,0,0.1,50,crypto-sha1,196,24,0.122449
false,false,0,0.1,50,date-format-tofte,228,17,0.074561
false,false,0,0.1,50,date-format-xparb,243,38,0.156379
false,false,0,0.1,50,math-cordic,185,4,0.021622
false,false,0,0.1,50,math-partial-sums,88,5,0.056818
false,false,0,0.1,50,math-spectral-norm,164,11,0.067073
false,false,0,0.1,50,regexp-dna,374,22,0.058824
false,false,0,0.1,50,string-base64,192,51,0.265625
false,false,0,0.1,50,string-fasta,182,0,0.000000
false,false,0,0.1,50,string-tagcloud,201,14,0.069652
false,false,0,0.1,50,string-unpack-code,115,70,0.608696
false,false,0,0.1,50,string-validate-input,172,27,0.156977
