bpIds,cols,seed,breakpointsPerLine,actionsCount,testcase,linesSum,linesDiff,linesDiffByLinesSum
false,false,0,0.1,100,3d-cube,474,0,0.000000
false,false,0,0.1,100,3d-morph,416,0,0.000000
false,false,0,0.1,100,3d-raytrace,492,0,0.000000
false,false,0,0.1,100,access-binary-trees,414,0,0.000000
false,false,0,0.1,100,access-fannkuch,418,0,0.000000
false,false,0,0.1,100,access-nbody,438,4,0.009132
false,false,0,0.1,100,access-nsieve,28,0,0.000000
false,false,0,0.1,100,bitops-3bit-bits-in-byte,412,0,0.000000
false,false,0,0.1,100,bitops-bits-in-byte,410,0,0.000000
false,false,0,0.1,100,bitops-bitwise-and,10,0,0.000000
false,false,0,0.1,100,bitops-nsieve-bits,16,0,0.000000
false,false,0,0.1,100,controlflow-recursive,410,0,0.000000
false,false,0,0.1,100,crypto-aes,488,0,0.000000
false,false,0,0.1,100,crypto-md5,462,0,0.000000
false,false,0,0.1,100,crypto-sha1,448,0,0.000000
false,false,0,0.1,100,date-format-tofte,464,0,0.000000
false,false,0,0.1,100,date-format-xparb,488,0,0.000000
false,false,0,0.1,100,math-cordic,424,0,0.000000
false,false,0,0.1,100,math-partial-sums,68,0,0.000000
false,false,0,0.1,100,math-spectral-norm,416,0,0.000000
false,false,0,0.1,100,regexp-dna,348,0,0.000000
false,false,0,0.1,100,string-base64,430,0,0.000000
false,false,0,0.1,100,string-fasta,422,0,0.000000
false,false,0,0.1,100,string-tagcloud,458,0,0.000000
false,false,0,0.1,100,string-unpack-code,50,2,0.040000
false,false,0,0.1,100,string-validate-input,422,0,0.000000
false,false,0,0.1,10,3d-cube,114,0,0.000000
false,false,0,0.1,10,3d-morph,56,0,0.000000
false,false,0,0.1,10,3d-raytrace,132,0,0.000000
false,false,0,0.1,10,access-binary-trees,54,0,0.000000
false,false,0,0.1,10,access-fannkuch,58,0,0.000000
false,false,0,0.1,10,access-nbody,78,2,0.025641
false,false,0,0.1,10,access-nsieve,28,0,0.000000
false,false,0,0.1,10,bitops-3bit-bits-in-byte,52,0,0.000000
false,false,0,0.1,10,bitops-bits-in-byte,50,0,0.000000
false,false,0,0.1,10,bitops-bitwise-and,10,0,0.000000
false,false,0,0.1,10,bitops-nsieve-bits,16,0,0.000000
false,false,0,0.1,10,controlflow-recursive,50,0,0.000000
false,false,0,0.1,10,crypto-aes,128,0,0.000000
false,false,0,0.1,10,crypto-md5,102,0,0.000000
false,false,0,0.1,10,crypto-sha1,88,0,0.000000
false,false,0,0.1,10,date-format-tofte,104,0,0.000000
false,false,0,0.1,10,date-format-xparb,128,0,0.000000
false,false,0,0.1,10,math-cordic,64,0,0.000000
false,false,0,0.1,10,math-partial-sums,52,0,0.000000
false,false,0,0.1,10,math-spectral-norm,56,0,0.000000
false,false,0,0.1,10,regexp-dna,348,0,0.000000
false,false,0,0.1,10,string-base64,70,0,0.000000
false,false,0,0.1,10,string-fasta,62,0,0.000000
false,false,0,0.1,10,string-tagcloud,98,0,0.000000
false,false,0,0.1,10,string-unpack-code,50,2,0.040000
false,false,0,0.1,10,string-validate-input,62,0,0.000000
false,false,0,0.1,50,3d-cube,274,0,0.000000
false,false,0,0.1,50,3d-morph,216,0,0.000000
false,false,0,0.1,50,3d-raytrace,292,0,0.000000
false,false,0,0.1,50,access-binary-trees,214,4,0.018692
false,false,0,0.1,50,access-fannkuch,218,0,0.000000
false,false,0,0.1,50,access-nbody,238,4,0.016807
false,false,0,0.1,50,access-nsieve,28,0,0.000000
false,false,0,0.1,50,bitops-3bit-bits-in-byte,212,0,0.000000
false,false,0,0.1,50,bitops-bits-in-byte,210,0,0.000000
false,false,0,0.1,50,bitops-bitwise-and,10,0,0.000000
false,false,0,0.1,50,bitops-nsieve-bits,16,0,0.000000
false,false,0,0.1,50,controlflow-recursive,210,0,0.000000
false,false,0,0.1,50,crypto-aes,288,0,0.000000
false,false,0,0.1,50,crypto-md5,262,0,0.000000
false,false,0,0.1,50,crypto-sha1,248,0,0.000000
false,false,0,0.1,50,date-format-tofte,264,0,0.000000
false,false,0,0.1,50,date-format-xparb,288,0,0.000000
false,false,0,0.1,50,math-cordic,224,0,0.000000
false,false,0,0.1,50,math-partial-sums,68,0,0.000000
false,false,0,0.1,50,math-spectral-norm,216,0,0.000000
false,false,0,0.1,50,regexp-dna,348,0,0.000000
false,false,0,0.1,50,string-base64,230,0,0.000000
false,false,0,0.1,50,string-fasta,222,0,0.000000
false,false,0,0.1,50,string-tagcloud,258,0,0.000000
false,false,0,0.1,50,string-unpack-code,50,2,0.040000
false,false,0,0.1,50,string-validate-input,222,0,0.000000
