bpIds,cols,seed,breakpointsPerLine,actionsCount,testcase,linesSum,linesDiff,linesDiffByLinesSum
false,false,0,0.1,100,3d-cube,474,0,0.000000
false,false,0,0.1,100,3d-morph,416,0,0.000000
false,false,0,0.1,100,3d-raytrace,492,0,0.000000
false,false,0,0.1,100,access-binary-trees,414,0,0.000000
false,false,0,0.1,100,access-fannkuch,418,28,0.066986
false,false,0,0.1,100,access-nbody,438,31,0.070776
false,false,0,0.1,100,access-nsieve,24,0,0.000000
false,false,0,0.1,100,bitops-3bit-bits-in-byte,412,0,0.000000
false,false,0,0.1,100,bitops-bits-in-byte,410,49,0.119512
false,false,0,0.1,100,bitops-bitwise-and,10,0,0.000000
false,false,0,0.1,100,bitops-nsieve-bits,16,0,0.000000
false,false,0,0.1,100,controlflow-recursive,410,0,0.000000
false,false,0,0.1,100,crypto-aes,488,13,0.026639
false,false,0,0.1,100,crypto-md5,462,8,0.017316
false,false,0,0.1,100,crypto-sha1,448,8,0.017857
false,false,0,0.1,100,date-format-tofte,464,2,0.004310
false,false,0,0.1,100,date-format-xparb,488,25,0.051230
false,false,0,0.1,100,math-cordic,424,0,0.000000
false,false,0,0.1,100,math-partial-sums,68,0,0.000000
false,false,0,0.1,100,math-spectral-norm,416,0,0.000000
false,false,0,0.1,100,regexp-dna,370,18,0.048649
false,false,0,0.1,100,string-base64,430,99,0.230233
false,false,0,0.1,100,string-fasta,422,0,0.000000
false,false,0,0.1,100,string-tagcloud,458,0,0.000000
false,false,0,0.1,100,string-unpack-code,234,191,0.816239
false,false,0,0.1,100,string-validate-input,422,45,0.106635
false,false,0,0.1,10,3d-cube,114,0,0.000000
false,false,0,0.1,10,3d-morph,56,0,0.000000
false,false,0,0.1,10,3d-raytrace,132,0,0.000000
false,false,0,0.1,10,access-binary-trees,54,0,0.000000
false,false,0,0.1,10,access-fannkuch,58,7,0.120690
false,false,0,0.1,10,access-nbody,78,2,0.025641
false,false,0,0.1,10,access-nsieve,24,0,0.000000
false,false,0,0.1,10,bitops-3bit-bits-in-byte,52,0,0.000000
false,false,0,0.1,10,bitops-bits-in-byte,50,4,0.080000
false,false,0,0.1,10,bitops-bitwise-and,10,0,0.000000
false,false,0,0.1,10,bitops-nsieve-bits,16,0,0.000000
false,false,0,0.1,10,controlflow-recursive,50,0,0.000000
false,false,0,0.1,10,crypto-aes,128,0,0.000000
false,false,0,0.1,10,crypto-md5,102,6,0.058824
false,false,0,0.1,10,crypto-sha1,88,6,0.068182
false,false,0,0.1,10,date-format-tofte,104,0,0.000000
false,false,0,0.1,10,date-format-xparb,128,0,0.000000
false,false,0,0.1,10,math-cordic,64,0,0.000000
false,false,0,0.1,10,math-partial-sums,52,0,0.000000
false,false,0,0.1,10,math-spectral-norm,56,0,0.000000
false,false,0,0.1,10,regexp-dna,370,18,0.048649
false,false,0,0.1,10,string-base64,70,9,0.128571
false,false,0,0.1,10,string-fasta,62,0,0.000000
false,false,0,0.1,10,string-tagcloud,98,0,0.000000
false,false,0,0.1,10,string-unpack-code,54,11,0.203704
false,false,0,0.1,10,string-validate-input,62,4,0.064516
false,false,0,0.1,50,3d-cube,274,0,0.000000
false,false,0,0.1,50,3d-morph,216,0,0.000000
false,false,0,0.1,50,3d-raytrace,292,0,0.000000
false,false,0,0.1,50,access-binary-trees,214,0,0.000000
false,false,0,0.1,50,access-fannkuch,218,18,0.082569
false,false,0,0.1,50,access-nbody,238,11,0.046218
false,false,0,0.1,50,access-nsieve,24,0,0.000000
false,false,0,0.1,50,bitops-3bit-bits-in-byte,212,0,0.000000
false,false,0,0.1,50,bitops-bits-in-byte,210,24,0.114286
false,false,0,0.1,50,bitops-bitwise-and,10,0,0.000000
false,false,0,0.1,50,bitops-nsieve-bits,16,0,0.000000
false,false,0,0.1,50,controlflow-recursive,210,0,0.000000
false,false,0,0.1,50,crypto-aes,288,0,0.000000
false,false,0,0.1,50,crypto-md5,262,8,0.030534
false,false,0,0.1,50,crypto-sha1,248,8,0.032258
false,false,0,0.1,50,date-format-tofte,264,0,0.000000
false,false,0,0.1,50,date-format-xparb,288,25,0.086806
false,false,0,0.1,50,math-cordic,224,0,0.000000
false,false,0,0.1,50,math-partial-sums,68,0,0.000000
false,false,0,0.1,50,math-spectral-norm,216,0,0.000000
false,false,0,0.1,50,regexp-dna,370,18,0.048649
false,false,0,0.1,50,string-base64,230,49,0.213043
false,false,0,0.1,50,string-fasta,222,0,0.000000
false,false,0,0.1,50,string-tagcloud,258,0,0.000000
false,false,0,0.1,50,string-unpack-code,134,91,0.679104
false,false,0,0.1,50,string-validate-input,222,22,0.099099
