bpIds,cols,seed,breakpointsPerLine,actionsCount,testcase,linesSum,linesDiff,linesDiffByLinesSum
false,false,0,0.1,100,3d-cube,676,0,0.000000
false,false,0,0.1,100,3d-morph,618,0,0.000000
false,false,0,0.1,100,3d-raytrace,694,0,0.000000
false,false,0,0.1,100,access-binary-trees,616,0,0.000000
false,false,0,0.1,100,access-fannkuch,620,0,0.000000
false,false,0,0.1,100,access-nbody,640,23,0.035938
false,false,0,0.1,100,access-nsieve,38,0,0.000000
false,false,0,0.1,100,bitops-3bit-bits-in-byte,614,0,0.000000
false,false,0,0.1,100,bitops-bits-in-byte,612,0,0.000000
false,false,0,0.1,100,bitops-bitwise-and,12,0,0.000000
false,false,0,0.1,100,bitops-nsieve-bits,20,0,0.000000
false,false,0,0.1,100,controlflow-recursive,612,0,0.000000
false,false,0,0.1,100,crypto-aes,690,0,0.000000
false,false,0,0.1,100,crypto-md5,664,0,0.000000
false,false,0,0.1,100,crypto-sha1,650,0,0.000000
false,false,0,0.1,100,date-format-tofte,666,0,0.000000
false,false,0,0.1,100,date-format-xparb,690,0,0.000000
false,false,0,0.1,100,math-cordic,626,0,0.000000
false,false,0,0.1,100,math-partial-sums,98,0,0.000000
false,false,0,0.1,100,math-spectral-norm,618,0,0.000000
false,false,0,0.1,100,regexp-dna,350,0,0.000000
false,false,0,0.1,100,string-base64,632,0,0.000000
false,false,0,0.1,100,string-fasta,624,0,0.000000
false,false,0,0.1,100,string-tagcloud,660,0,0.000000
false,false,0,0.1,100,string-unpack-code,67,3,0.044776
false,false,0,0.1,100,string-validate-input,624,0,0.000000
false,false,0,0.1,10,3d-cube,136,0,0.000000
false,false,0,0.1,10,3d-morph,78,0,0.000000
false,false,0,0.1,10,3d-raytrace,154,0,0.000000
false,false,0,0.1,10,access-binary-trees,76,0,0.000000
false,false,0,0.1,10,access-fannkuch,80,0,0.000000
false,false,0,0.1,10,access-nbody,100,3,0.030000
false,false,0,0.1,10,access-nsieve,38,0,0.000000
false,false,0,0.1,10,bitops-3bit-bits-in-byte,74,0,0.000000
false,false,0,0.1,10,bitops-bits-in-byte,72,0,0.000000
false,false,0,0.1,10,bitops-bitwise-and,12,0,0.000000
false,false,0,0.1,10,bitops-nsieve-bits,20,0,0.000000
false,false,0,0.1,10,controlflow-recursive,72,0,0.000000
false,false,0,0.1,10,crypto-aes,150,0,0.000000
false,false,0,0.1,10,crypto-md5,124,0,0.000000
false,false,0,0.1,10,crypto-sha1,110,0,0.000000
false,false,0,0.1,10,date-format-tofte,126,0,0.000000
false,false,0,0.1,10,date-format-xparb,150,0,0.000000
false,false,0,0.1,10,math-cordic,86,0,0.000000
false,false,0,0.1,10,math-partial-sums,74,0,0.000000
false,false,0,0.1,10,math-spectral-norm,78,0,0.000000
false,false,0,0.1,10,regexp-dna,350,0,0.000000
false,false,0,0.1,10,string-base64,92,0,0.000000
false,false,0,0.1,10,string-fasta,84,0,0.000000
false,false,0,0.1,10,string-tagcloud,120,0,0.000000
false,false,0,0.1,10,string-unpack-code,67,3,0.044776
false,false,0,0.1,10,string-validate-input,84,0,0.000000
false,false,0,0.1,50,3d-cube,376,0,0.000000
false,false,0,0.1,50,3d-morph,318,0,0.000000
false,false,0,0.1,50,3d-raytrace,394,0,0.000000
false,false,0,0.1,50,access-binary-trees,316,0,0.000000
false,false,0,0.1,50,access-fannkuch,320,0,0.000000
false,false,0,0.1,50,access-nbody,340,6,0.017647
false,false,0,0.1,50,access-nsieve,38,0,0.000000
false,false,0,0.1,50,bitops-3bit-bits-in-byte,314,0,0.000000
false,false,0,0.1,50,bitops-bits-in-byte,312,0,0.000000
false,false,0,0.1,50,bitops-bitwise-and,12,0,0.000000
false,false,0,0.1,50,bitops-nsieve-bits,20,0,0.000000
false,false,0,0.1,50,controlflow-recursive,312,0,0.000000
false,false,0,0.1,50,crypto-aes,390,0,0.000000
false,false,0,0.1,50,crypto-md5,364,0,0.000000
false,false,0,0.1,50,crypto-sha1,350,0,0.000000
false,false,0,0.1,50,date-format-tofte,366,0,0.000000
false,false,0,0.1,50,date-format-xparb,390,0,0.000000
false,false,0,0.1,50,math-cordic,326,0,0.000000
false,false,0,0.1,50,math-partial-sums,98,0,0.000000
false,false,0,0.1,50,math-spectral-norm,318,0,0.000000
false,false,0,0.1,50,regexp-dna,350,0,0.000000
false,false,0,0.1,50,string-base64,332,0,0.000000
false,false,0,0.1,50,string-fasta,324,0,0.000000
false,false,0,0.1,50,string-tagcloud,360,0,0.000000
false,false,0,0.1,50,string-unpack-code,67,3,0.044776
false,false,0,0.1,50,string-validate-input,324,0,0.000000
