bpIds,cols,seed,breakpointsPerLine,actionsCount,testcase,linesSum,linesDiff,linesDiffByLinesSum
false,false,0,0.1,100,3d-cube,3814,0,0.000000
false,false,0,0.1,100,3d-morph,820,0,0.000000
false,false,0,0.1,100,3d-raytrace,3468,0,0.000000
false,false,0,0.1,100,access-binary-trees,1210,0,0.000000
false,false,0,0.1,100,access-fannkuch,4022,0,0.000000
false,false,0,0.1,100,access-nbody,2764,30,0.010854
false,false,0,0.1,100,access-nsieve,78,0,0.000000
false,false,0,0.1,100,bitops-3bit-bits-in-byte,1216,0,0.000000
false,false,0,0.1,100,bitops-bits-in-byte,1214,0,0.000000
false,false,0,0.1,100,bitops-bitwise-and,14,0,0.000000
false,false,0,0.1,100,bitops-nsieve-bits,28,0,0.000000
false,false,0,0.1,100,controlflow-recursive,1016,0,0.000000
false,false,0,0.1,100,crypto-aes,1952,0,0.000000
false,false,0,0.1,100,crypto-md5,1470,0,0.000000
false,false,0,0.1,100,crypto-sha1,1878,0,0.000000
false,false,0,0.1,100,date-format-tofte,8762,0,0.000000
false,false,0,0.1,100,date-format-xparb,1108,0,0.000000
false,false,0,0.1,100,math-cordic,2016,0,0.000000
false,false,0,0.1,100,math-partial-sums,278,0,0.000000
false,false,0,0.1,100,math-spectral-norm,1238,0,0.000000
false,false,0,0.1,100,regexp-dna,352,0,0.000000
false,false,0,0.1,100,string-base64,2010,0,0.000000
false,false,0,0.1,100,string-fasta,1610,0,0.000000
false,false,0,0.1,100,string-tagcloud,2440,0,0.000000
false,false,0,0.1,100,string-unpack-code,84,4,0.047619
false,false,0,0.1,100,string-validate-input,1514,0,0.000000
false,false,0,0.1,10,3d-cube,226,0,0.000000
false,false,0,0.1,10,3d-morph,100,0,0.000000
false,false,0,0.1,10,3d-raytrace,440,0,0.000000
false,false,0,0.1,10,access-binary-trees,130,0,0.000000
false,false,0,0.1,10,access-fannkuch,422,0,0.000000
false,false,0,0.1,10,access-nbody,180,10,0.055556
false,false,0,0.1,10,access-nsieve,78,0,0.000000
false,false,0,0.1,10,bitops-3bit-bits-in-byte,136,0,0.000000
false,false,0,0.1,10,bitops-bits-in-byte,134,0,0.000000
false,false,0,0.1,10,bitops-bitwise-and,14,0,0.000000
false,false,0,0.1,10,bitops-nsieve-bits,28,0,0.000000
false,false,0,0.1,10,controlflow-recursive,116,0,0.000000
false,false,0,0.1,10,crypto-aes,252,0,0.000000
false,false,0,0.1,10,crypto-md5,206,0,0.000000
false,false,0,0.1,10,crypto-sha1,258,0,0.000000
false,false,0,0.1,10,date-format-tofte,1010,0,0.000000
false,false,0,0.1,10,date-format-xparb,192,0,0.000000
false,false,0,0.1,10,math-cordic,216,0,0.000000
false,false,0,0.1,10,math-partial-sums,206,0,0.000000
false,false,0,0.1,10,math-spectral-norm,134,0,0.000000
false,false,0,0.1,10,regexp-dna,352,0,0.000000
false,false,0,0.1,10,string-base64,210,0,0.000000
false,false,0,0.1,10,string-fasta,170,0,0.000000
false,false,0,0.1,10,string-tagcloud,280,0,0.000000
false,false,0,0.1,10,string-unpack-code,84,4,0.047619
false,false,0,0.1,10,string-validate-input,194,0,0.000000
false,false,0,0.1,50,3d-cube,1614,0,0.000000
false,false,0,0.1,50,3d-morph,420,0,0.000000
false,false,0,0.1,50,3d-raytrace,1792,0,0.000000
false,false,0,0.1,50,access-binary-trees,610,0,0.000000
false,false,0,0.1,50,access-fannkuch,2022,0,0.000000
false,false,0,0.1,50,access-nbody,1264,30,0.023734
false,false,0,0.1,50,access-nsieve,78,0,0.000000
false,false,0,0.1,50,bitops-3bit-bits-in-byte,616,0,0.000000
false,false,0,0.1,50,bitops-bits-in-byte,614,0,0.000000
false,false,0,0.1,50,bitops-bitwise-and,14,0,0.000000
false,false,0,0.1,50,bitops-nsieve-bits,28,0,0.000000
false,false,0,0.1,50,controlflow-recursive,516,0,0.000000
false,false,0,0.1,50,crypto-aes,978,0,0.000000
false,false,0,0.1,50,crypto-md5,752,0,0.000000
false,false,0,0.1,50,crypto-sha1,1022,0,0.000000
false,false,0,0.1,50,date-format-tofte,4454,0,0.000000
false,false,0,0.1,50,date-format-xparb,608,0,0.000000
false,false,0,0.1,50,math-cordic,1016,0,0.000000
false,false,0,0.1,50,math-partial-sums,278,0,0.000000
false,false,0,0.1,50,math-spectral-norm,588,1,0.001701
false,false,0,0.1,50,regexp-dna,352,0,0.000000
false,false,0,0.1,50,string-base64,1010,0,0.000000
false,false,0,0.1,50,string-fasta,810,0,0.000000
false,false,0,0.1,50,string-tagcloud,1240,0,0.000000
false,false,0,0.1,50,string-unpack-code,84,4,0.047619
false,false,0,0.1,50,string-validate-input,780,0,0.000000
