technique,bpIds,cols,seed,breakpointsPerLine,actionsCount,testcase,linesSum,linesDiff,linesDiffByLinesSum
cascaded-0-bp-sliding,false,false,0,1.0,0,js-puzzle-10,12,0,0.000000
cascaded-0-bp-sliding,false,false,0,1.0,0,js-puzzle-11,24,1,0.041667
cascaded-0-bp-sliding,false,false,0,1.0,0,js-puzzle-1,31,2,0.064516
cascaded-0-bp-sliding,false,false,0,1.0,0,js-puzzle-2,12,0,0.000000
cascaded-0-bp-sliding,false,false,0,1.0,0,js-puzzle-3,28,0,0.000000
cascaded-0-bp-sliding,false,false,0,1.0,0,js-puzzle-4,40,1,0.025000
cascaded-0-bp-sliding,false,false,0,1.0,0,js-puzzle-5,16,0,0.000000
cascaded-0-bp-sliding,false,false,0,1.0,0,js-puzzle-6,27,4,0.148148
cascaded-0-bp-sliding,false,false,0,1.0,0,js-puzzle-7,24,0,0.000000
cascaded-0-bp-sliding,false,false,0,1.0,0,js-puzzle-8,32,0,0.000000
cascaded-0-bp-sliding,false,false,0,1.0,0,js-puzzle-9,16,0,0.000000
cascaded-0-bp-sliding,false,false,0,1.0,0,manual-bindings,192,0,0.000000
cascaded-0-bp-sliding,false,false,0,1.0,0,manual-multiline-decls,72,5,0.069444
cascaded-0-bp-sliding,false,false,0,1.0,0,manual-wtf,344,16,0.046512
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-3d-cube,1423,48,0.033732
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-3d-morph,255,3,0.011765
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-3d-raytrace,1791,57,0.031826
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-access-binary-trees,216,6,0.027778
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-access-fannkuch,283,7,0.024735
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-access-nbody,699,41,0.058655
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-access-nsieve,187,10,0.053476
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-bitops-3bit-bits-in-byte,163,7,0.042945
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-bitops-bits-in-byte,123,6,0.048780
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-bitops-bitwise-and,143,2,0.013986
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-bitops-nsieve-bits,171,9,0.052632
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-controlflow-recursive,131,8,0.061069
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-crypto-aes,1707,78,0.045694
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-crypto-md5,1171,52,0.044406
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-crypto-sha1,915,58,0.063388
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-date-format-tofte,1207,48,0.039768
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-date-format-xparb,1683,65,0.038622
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-math-cordic,423,21,0.049645
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-math-partial-sums,183,7,0.038251
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-math-spectral-norm,239,11,0.046025
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-regexp-dna,6887,13,0.001888
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-string-base64,551,15,0.027223
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-string-fasta,363,19,0.052342
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-string-tagcloud,1087,17,0.015639
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-string-unpack-code,327,2,0.006116
cascaded-0-bp-sliding,false,false,0,1.0,0,sunspider-string-validate-input,371,10,0.026954
cascaded-0-bp-sliding,false,true,0,1.0,0,js-puzzle-10,12,1,0.083333
cascaded-0-bp-sliding,false,true,0,1.0,0,js-puzzle-11,24,4,0.166667
cascaded-0-bp-sliding,false,true,0,1.0,0,js-puzzle-1,31,5,0.161290
cascaded-0-bp-sliding,false,true,0,1.0,0,js-puzzle-2,12,2,0.166667
cascaded-0-bp-sliding,false,true,0,1.0,0,js-puzzle-3,28,2,0.071429
cascaded-0-bp-sliding,false,true,0,1.0,0,js-puzzle-4,40,5,0.125000
cascaded-0-bp-sliding,false,true,0,1.0,0,js-puzzle-5,16,2,0.125000
cascaded-0-bp-sliding,false,true,0,1.0,0,js-puzzle-6,27,6,0.222222
