browser,bpIds,cols,restart,breakpointsPerLine,actionsCount,testcase,linesSum,linesDiff,linesDiffByLinesSum
chrome,true,true,false,0.1,100,js-puzzle-10,60,0,0.000000
chrome,true,true,false,0.1,100,js-puzzle-11,60,0,0.000000
chrome,true,true,false,0.1,100,js-puzzle-1,60,0,0.000000
chrome,true,true,false,0.1,100,js-puzzle-2,60,0,0.000000
chrome,true,true,false,0.1,100,js-puzzle-3,60,0,0.000000
chrome,true,true,false,0.1,100,js-puzzle-4,60,0,0.000000
chrome,true,true,false,0.1,100,js-puzzle-5,60,0,0.000000
chrome,true,true,false,0.1,100,js-puzzle-6,60,0,0.000000
chrome,true,true,false,0.1,100,js-puzzle-7,60,0,0.000000
chrome,true,true,false,0.1,100,js-puzzle-8,96,0,0.000000
chrome,true,true,false,0.1,100,js-puzzle-9,60,0,0.000000
chrome,true,true,false,0.1,100,manual-bindings,840,0,0.000000
chrome,true,true,false,0.1,100,manual-multiline-decls,60,0,0.000000
chrome,true,true,false,0.1,100,manual-wtf,480,0,0.000000
chrome,true,true,false,0.1,100,sunspider-3d-cube,19608,0,0.000000
chrome,true,true,false,0.1,100,sunspider-3d-morph,11556,0,0.000000
chrome,true,true,false,0.1,100,sunspider-3d-raytrace,14148,84,0.005937
chrome,true,true,false,0.1,100,sunspider-access-binary-trees,6024,0,0.000000
chrome,true,true,false,0.1,100,sunspider-access-fannkuch,23616,0,0.000000
chrome,true,true,false,0.1,100,sunspider-access-nbody,15204,0,0.000000
chrome,true,true,false,0.1,100,sunspider-access-nsieve,540,0,0.000000
chrome,true,true,false,0.1,100,sunspider-bitops-3bit-bits-in-byte,7908,0,0.000000
chrome,true,true,false,0.1,100,sunspider-bitops-bits-in-byte,480,0,0.000000
chrome,true,true,false,0.1,100,sunspider-bitops-bitwise-and,84,0,0.000000
chrome,true,true,false,0.1,100,sunspider-bitops-nsieve-bits,348,0,0.000000
chrome,true,true,false,0.1,100,sunspider-controlflow-recursive,6768,0,0.000000
chrome,true,true,false,0.1,100,sunspider-crypto-aes,10968,0,0.000000
chrome,true,true,false,0.1,100,sunspider-crypto-md5,17976,0,0.000000
chrome,true,true,false,0.1,100,sunspider-crypto-sha1,27012,0,0.000000
chrome,true,true,false,0.1,100,sunspider-date-format-tofte,46716,0,0.000000
chrome,true,true,false,0.1,100,sunspider-date-format-xparb,6948,0,0.000000
chrome,true,true,false,0.1,100,sunspider-math-cordic,9012,0,0.000000
chrome,true,true,false,0.1,100,sunspider-math-partial-sums,10332,0,0.000000
