browser,bpIds,cols,breakpointsPerLine,testcase,linesSum,linesDiff,linesDiffByLinesSum
chrome,false,true,0.1,js-puzzle-10,12,0,0.000000
chrome,false,true,0.1,js-puzzle-11,12,0,0.000000
chrome,false,true,0.1,js-puzzle-1,12,0,0.000000
chrome,false,true,0.1,js-puzzle-2,12,0,0.000000
chrome,false,true,0.1,js-puzzle-3,12,0,0.000000
chrome,false,true,0.1,js-puzzle-4,12,0,0.000000
chrome,false,true,0.1,js-puzzle-5,12,0,0.000000
chrome,false,true,0.1,js-puzzle-6,12,0,0.000000
chrome,false,true,0.1,js-puzzle-7,12,0,0.000000
chrome,false,true,0.1,js-puzzle-8,12,0,0.000000
chrome,false,true,0.1,js-puzzle-9,12,0,0.000000
chrome,false,true,0.1,manual-bindings,48,0,0.000000
chrome,false,true,0.1,manual-multiline-decls,12,0,0.000000
chrome,false,true,0.1,manual-wtf,96,0,0.000000
chrome,false,true,0.1,sunspider-3d-cube,420,0,0.000000
chrome,false,true,0.1,sunspider-3d-morph,72,0,0.000000
chrome,false,true,0.1,sunspider-3d-raytrace,528,0,0.000000
chrome,false,true,0.1,sunspider-access-binary-trees,60,0,0.000000
chrome,false,true,0.1,sunspider-access-fannkuch,84,0,0.000000
chrome,false,true,0.1,sunspider-access-nbody,204,0,0.000000
chrome,false,true,0.1,sunspider-access-nsieve,48,0,0.000000
chrome,false,true,0.1,sunspider-bitops-3bit-bits-in-byte,48,0,0.000000
chrome,false,true,0.1,sunspider-bitops-bits-in-byte,36,0,0.000000
chrome,false,true,0.1,sunspider-bitops-bitwise-and,36,0,0.000000
chrome,false,true,0.1,sunspider-bitops-nsieve-bits,48,0,0.000000
chrome,false,true,0.1,sunspider-controlflow-recursive,36,0,0.000000
chrome,false,true,0.1,sunspider-crypto-aes,504,0,0.000000
chrome,false,true,0.1,sunspider-crypto-md5,348,0,0.000000
chrome,false,true,0.1,sunspider-crypto-sha1,264,0,0.000000
chrome,false,true,0.1,sunspider-date-format-tofte,360,0,0.000000
chrome,false,true,0.1,sunspider-date-format-xparb,504,0,0.000000
chrome,false,true,0.1,sunspider-math-cordic,120,0,0.000000
chrome,false,true,0.1,sunspider-math-partial-sums,48,0,0.000000
chrome,false,true,0.1,sunspider-math-spectral-norm,72,0,0.000000
chrome,false,true,0.1,sunspider-regexp-dna,2064,0,0.000000
chrome,false,true,0.1,sunspider-string-base64,156,0,0.000000
chrome,false,true,0.1,sunspider-string-fasta,108,0,0.000000
chrome,false,true,0.1,sunspider-string-tagcloud,324,0,0.000000
chrome,false,true,0.1,sunspider-string-unpack-code,96,0,0.000000
chrome,false,true,0.1,sunspider-string-validate-input,108,0,0.000000
firefox,false,true,0.1,js-puzzle-10,12,0,0.000000
firefox,false,true,0.1,js-puzzle-11,12,0,0.000000
firefox,false,true,0.1,js-puzzle-1,12,0,0.000000
firefox,false,true,0.1,js-puzzle-2,12,0,0.000000
firefox,false,true,0.1,js-puzzle-3,12,0,0.000000
firefox,false,true,0.1,js-puzzle-4,12,0,0.000000
firefox,false,true,0.1,js-puzzle-5,12,0,0.000000
firefox,false,true,0.1,js-puzzle-6,12,0,0.000000
firefox,false,true,0.1,js-puzzle-7,12,0,0.000000
firefox,false,true,0.1,js-puzzle-8,12,0,0.000000
firefox,false,true,0.1,js-puzzle-9,12,0,0.000000
firefox,false,true,0.1,manual-bindings,48,0,0.000000
firefox,false,true,0.1,manual-multiline-decls,12,0,0.000000
firefox,false,true,0.1,manual-wtf,96,0,0.000000
firefox,false,true,0.1,sunspider-3d-cube,420,0,0.000000
firefox,false,true,0.1,sunspider-3d-morph,72,0,0.000000
firefox,false,true,0.1,sunspider-3d-raytrace,528,4,0.007576
firefox,false,true,0.1,sunspider-access-binary-trees,60,3,0.050000
firefox,false,true,0.1,sunspider-access-fannkuch,84,0,0.000000
firefox,false,true,0.1,sunspider-access-nbody,204,3,0.014706
firefox,false,true,0.1,sunspider-access-nsieve,48,0,0.000000
firefox,false,true,0.1,sunspider-bitops-3bit-bits-in-byte,48,0,0.000000
firefox,false,true,0.1,sunspider-bitops-bits-in-byte,36,3,0.083333
firefox,false,true,0.1,sunspider-bitops-bitwise-and,36,0,0.000000
firefox,false,true,0.1,sunspider-bitops-nsieve-bits,48,0,0.000000
firefox,false,true,0.1,sunspider-controlflow-recursive,36,0,0.000000
firefox,false,true,0.1,sunspider-crypto-aes,504,7,0.013889
firefox,false,true,0.1,sunspider-crypto-md5,348,0,0.000000
firefox,false,true,0.1,sunspider-crypto-sha1,264,3,0.011364
firefox,false,true,0.1,sunspider-date-format-tofte,360,0,0.000000
firefox,false,true,0.1,sunspider-date-format-xparb,504,4,0.007937
firefox,false,true,0.1,sunspider-math-cordic,120,0,0.000000
firefox,false,true,0.1,sunspider-math-partial-sums,48,0,0.000000
firefox,false,true,0.1,sunspider-math-spectral-norm,72,3,0.041667
firefox,false,true,0.1,sunspider-regexp-dna,2064,0,0.000000
firefox,false,true,0.1,sunspider-string-base64,156,0,0.000000
firefox,false,true,0.1,sunspider-string-fasta,108,0,0.000000
firefox,false,true,0.1,sunspider-string-tagcloud,324,3,0.009259
firefox,false,true,0.1,sunspider-string-unpack-code,96,3,0.031250
firefox,false,true,0.1,sunspider-string-validate-input,108,3,0.027778
