transformation,browser,bpIds,cols,seed,breakpointsPerLine,actionsCount,testcase,linesSum,linesDiff,linesDiffByLinesSum
hoist-funcs,chrome,false,false,0,0.1,100,js-puzzle-4,10,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,manual-bindings,60,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,manual-multiline-decls,10,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,manual-wtf,56,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-3d-cube,3630,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-3d-morph,2018,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-3d-raytrace,2508,10,0.003987
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-access-binary-trees,1208,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-access-fannkuch,4016,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-access-nbody,2838,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-access-nsieve,62,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-bitops-3bit-bits-in-byte,1212,7,0.005776
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-bitops-bits-in-byte,16,5,0.312500
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-bitops-bitwise-and,14,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-bitops-nsieve-bits,24,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-controlflow-recursive,1012,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-crypto-aes,2248,4,0.001779
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-crypto-md5,2219,11,0.004957
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-crypto-sha1,1961,8,0.004080
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-date-format-tofte,8508,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-date-format-xparb,1396,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-math-cordic,2024,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-math-partial-sums,1814,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-math-spectral-norm,1036,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-regexp-dna,358,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-string-base64,2000,267,0.133500
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-string-fasta,1606,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-string-tagcloud,2436,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-string-unpack-code,42,0,0.000000
hoist-funcs,chrome,false,false,0,0.1,100,sunspider-string-validate-input,1138,0,0.000000
hoist-funcs,firefox,false,false,0,0.1,100,js-puzzle-4,10,0,0.000000
hoist-funcs,firefox,false,false,0,0.1,100,manual-bindings,60,0,0.000000
hoist-funcs,firefox,false,false,0,0.1,100,manual-multiline-decls,10,0,0.000000
hoist-funcs,firefox,false,false,0,0.1,100,manual-wtf,56,0,0.000000
hoist-funcs,firefox,false,false,0,0.1,100,sunspider-3d-cube,3630,0,0.000000
hoist-funcs,firefox,false,false,0,0.1,100,sunspider-3d-morph,2018,0,0.000000
hoist-funcs,firefox,false,false,0,0.1,100,sunspider-3d-raytrace,2540,10,0.003937
hoist-funcs,firefox,false,false,0,0.1,100,sunspider-access-binary-trees,1210,0,0.000000
hoist-funcs,firefox,false,false,0,0.1,100,sunspider-access-fannkuch,4018,0,0.000000
hoist-funcs,firefox,false,false,0,0.1,100,sunspider-access-nbody,2816,0,0.000000
hoist-funcs,firefox,false,false,0,0.1,100,sunspider-access-nsieve,54,0,0.000000
hoist-funcs,firefox,false,false,0,0.1,100,sunspider-bitops-3bit-bits-in-byte,1214,0,0.000000
hoist-funcs,firefox,false,false,0,0.1,100,sunspider-bitops-bits-in-byte,1212,0,0.000000
hoist-funcs,firefox,false,false,0,0.1,100,sunspider-bitops-bitwise-and,14,3,0.214286
hoist-funcs,firefox,false,false,0,0.1,100,sunspider-bitops-nsieve-bits,26,0,0.000000
